,can,seed,score,time
0,C1CCN(CCCCNC(=O)c2ccc(Cl)cc2)c3ccccc3OCC1=O,seed_0_1,-9.666666666666668,41.315985679626465
1,COc1ccccc1N2CCN(CCCCNc3ccc(Cl)cc3OC)CC2=O,seed_0_2,-8.466666666666667,56.220603466033936
2,COc1ccccc1N2CCN(CCCCNc3ccc(Cl)cc3OC)cc2,seed_0_3,-8.333333333333334,51.162967681884766
3,COc1ccccc1N2CCN(CCCCNc3nc(C)c(Cl)cn3)nn2,seed_0_4,-8.533333333333333,49.80429744720459
4,COc1ccccc1N2CCN(CCCCNc3oc(C)c(Cl)c3)CC2=O,seed_0_5,-8.0,47.087398529052734
5,COc1ccccc1N2CCN(CCCCc3ccc(Cl)cc3OC)CC2=O,seed_0_6,-8.633333333333333,46.59662103652954
6,COc1ccccc1N2CCN(CCCCn3cc(Cl)cc3C(=O)C=C)CC2,seed_0_7,-8.333333333333334,49.30123329162598
7,C1CC(CC(CO)CCCOCCOCCOCCCCNCc2ccccc2)C(=O)c1,seed_2_1,-8.033333333333333,126.85385131835938
8,COc1ccccc1N2CCN(CCCCc3ccc(cc3)NC(=O)c3ccccc2)C3=N,seed_2_2,-8.499999999999998,43.774024963378906
9,COc1ccccc1N2CCN(CCCCCCCc3cccc(Cl)c3)CC2,seed_3_1,-8.566666666666666,53.3947057723999
10,COc1ccccc1NC(=O)c2ccc(CCCCNCc3ccccc3)nn2,seed_3_2,-8.966666666666667,56.68899703025818
11,C1CCCc2ccccc2CSc3ccccc3SCCCNS(=O)(=O)ccc1=O,seed_4_1,-7.366666666666666,15.972745895385742
12,CS(=O)(=O)c2ccccc2Sc1nc(ccc1Cc2ccccc2)Cc3ccccc3SC,seed_5_1,-8.9,56.94663643836975
13,CS(=O)(=O)c2ccccc2Sc1nnc(SCCCN2CCCCCCCCC2)n1C,seed_5_2,-9.866666666666665,59.65388894081116
14,Cn1cc(CCCCCCNC(=O)c2ccc(Cl)cc2)cc1CCc2ccc(Cl)cc2,seed_5_3,-9.266666666666667,69.16617918014526
15,Cn1cc(CCCCNC(=O)c2ccc(Cl)cc2)cc1CCc3ccc(Cl)cc3SC,seed_5_4,-8.933333333333334,65.85362434387207
